title;year;country;realm;province;lat;long;family;species;depth;gamete;histology;tempsal;field_work;periodicity;femepeak;malepeak;largoocy;fixation;hermaphro;spermclass;type_spermclass;environment_influence
Effects of flow-habitat on body size and reproductive patterns in the sea anemone Metridium senile in the Gullmarsfjord, Sweden;1994;Sweden;Temperate Northern Atlantic;Northern European Seas;58°23.7'N;11°32.4'E;Metridiidae;Metridium senile;shallow;Oocyte;Yes;No;Yes;Monthly;June/September;NA;NA;NA;No;No;NA;NA
An Ultrastructural Investigation of Spermiogenesis and the Mature Sperm in the Anthozoan Bunodosoma cavernata (Cnidaria);1972;United States;NA;NA;;;Actiniidae;Bunodosoma cavernata;shallow;Spermaries;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
Trioecy, a Unique Breeding Strategy in the Sea anemone Aiptasia diaphana and its association with Sex Steroids;2014;Israel;Temperate Northern Atlantic;Mediterranean Sea;;;Aiptasiidae;Exaiptasia diaphana;shallow;Oocyte and Spermaries;Yes;No;Yes;Other;NA;NA;NA;slide;Yes;Yes;Kruger and Schleyer;NA
Seasonal Gametogenesis of Host Sea Anemone (Entacmaea quadricolor) Inhabiting Hong Kong Waters;2015;China;Central Indo-Pacific;South China Sea;"22°24 '7"" N";"114°23'11""E";Actiniidae;Entacmaea quadricolor;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;NA;September /October;NA;NA;No;Yes;Scott and Harrison 2009;Temperature
Genetic subdivision in the subtidal, clonal sea anemone Anthothoe albocincta;1996;Australia;Temperate Australasia;Southeast Australian Shelf;34°30S;150°55E;Sagartiidae;Anthothoe albocincta;shallow;Oocyte and Spermaries;No;No;Yes;Monthly;March/April;March/April;100;slide;No;No;NA;NA
Reproductive Biology of two epizoic anemones from the deep north-eastern atlantic ocean;1993;United Kingdom;Deep Sea;Deep Sea;57°18N;10°23W;Amphianthidae;Amphianthus inornata;deep;Oocyte and Spermaries;Yes;No;Yes;Other;NA;NA;205;slide;No;Yes;Shawn 1989;NA
;;NA;NA;NA;;;Kadosactinidae;Kadosactis commensalis;deep;Oocyte and Spermaries;NA;NA;NA;NA;NA;NA;150;slide;Yes;NA;NA;NA
The annual cycle of sexual reproduction in the sea anemone Metridium senile;1982;United States;Temperate Northern Pacific;Cold Temperate Northeast Pacific;"38°20'09""N";"123°03'23""E";Metridiidae;Metridium senile;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;August/September;August /September;140;slide;No;Yes;Buckling 1982;NA
Body size and symbiotic status influence gonad development in Aiptasia pallida;2016;United States;NA;NA;-;-;Aiptasiidae;Exaiptasia pallida;shallow;Oocyte and Spermaries;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
Gametogenic cycles and reproduction in the beadlet sea anemone Actinia equina (Cnidaria: Anthozoa);1989;United Kingdom;Temperate Northern Atlantic;Northern European Seas;Vários;;Actiniidae;Actinia equina;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;June/July/August;June/July/August;NA;NA;Yes;Yes;Carter & Miles 1989;NA
The smallest Oocytes among Broadcast-spawning Actiniarians and a unique lunar reproductive cycle in a unisexual population of the sea anemone Aiptasia puchella (Anthozoa: Actiniaria;2008;Taiwan;Central Indo-Pacific;South China Sea;120.26°N;22.25°E;Aiptasiidae;Exaiptasia pallida;shallow;Oocyte;Yes;No;Yes;Monthly;January/February/March/April/May/June/July/August/September/October/November/December;NA;100;slide;No;No;NA;Lunar Cycle
;;NA;NA;NA;;;Aiptasiidae;Exaiptasia pallida;shallow;Oocyte;NA;NA;NA;NA;NA;NA;;NA;No;NA;NA;NA
Sexual reproduction and larval morphology of the primitive anthozoan Gonactinia prolifera M. Sars;1989;Sweden;Temperate Northern Atlantic;Northern European Seas;58°23.7'N;11°32.4'E;Gonactiniidae;Gonactinia  prolifera;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;July/August/September/October/November;June/October/November;65;slide;No;No;NA;NA
The reproduction of Actinia equina L. Var. mesembryanthemum;1979;United Kingdom;Temperate Northern Atlantic;Northern European Seas;"50°40'26.40""N";"1°06'18.00""W";Actiniidae;Actinia equina;shallow;Oocyte and Spermaries;Yes;No;Yes;Other;NA;NA;NA;NA;No;No;NA;NA
Reproduction in the Aggregating Sea Anemone, Anthopleura elegantissima;1964;United States;Temperate Northern Pacific;Cold Temperate Northeast Pacific;37° 52' N;- (Stinson Beach, CA, USA);Actiniidae;Anthopleura elegantissima;shallow;Oocyte and Spermaries;No;Yes;Yes;Monthly;September / October;September /October;210;wet;No;No;NA;Temperature
Some Aspects of the reproductive biology of Actinia equina [Cnidaria: Anthozoa];1970;United Kingdom;Temperate Northern Atlantic;Northern European Seas;Duas;"Cullercoats (55°01'60.00"" N -1°25'59.99"" W); Broadstairs (51.360165, 1.432038)";Actiniidae;Actinia equina;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;NA;NA;NA;slide;Yes;No;NA;NA
The Structure of the Gonads, Gametogenesis, and Sperm-Egg Interactions in the Anthozoa;1974;United States;NA;NA;"41°31'27""N";"70°40'16""W";Actiniidae;Bunodosoma cavernata;shallow;Oocyte and Spermaries;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
Phenology of Anemonia viridis and Exaiptasia diaphana (Cnidaria: Anthozoa) from marine temperature ecosystems;2021;Italy;Temperate Northern Atlantic;Mediterranean Sea;43.618639° N,;13.532489°W;Actiniidae;Anemonia viridis;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;April/May/June;April/May/June;460;slide;No;No;NA;Temperature
;;NA;NA;NA;;;Aiptasiidae;Exaiptasia diaphana;shallow;Oocyte and Spermaries;NA;NA;NA;NA;April/May/June;April/May/June;180;slide;No;NA;NA;NA
Do reproductive tactics vary with habitat heterogeneity in the intertidal sea anemone Actinia tenebrosa?;2007;Australia;Temperate Australasia;Southeast Australian Shelf;"34° 0' 21.32636""S";"151° 15' 1.35197""E";Actiniidae;Actinia tenebrosa;shallow;Spermaries;No;No;Yes;Monthly;NA;December /January/February;NA;NA;No;No;NA;NA
Reproduction of the extrenally brooding sea anemone Epiactis prolifera Verril, 1869;1975;United States;Temperate Northern Pacific;Cold Temperate Northeast Pacific;"38°19'7""N";"123°4'19""W";Actiniidae;Epiactis prolifera;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;June/October;NA;400;wet;Yes;No;NA;NA
Effects of Environment and Population Density on the Sea Anemone Actinia tenebrosa;1984;Australia;Temperate Australasia;West Central Australian Shelf;Vários (checar);"Green Island (16.7627°S, 145.9683°E); Jeannies Lookout (32° 1' 34"" S, 115° 31' 37"" E); Nacy Cove (32° 0' 57"" S, 115° 30' 1""E); Salmon Point (32° 1' 30"" S, 115° 31' 17""E); Strickland Point (42° 22' 0""S, 146° 40' 0""E); Wilson Bay (17° 06′ 55.61″ S; 139° 27′ 09.21″ E)";Actiniidae;Actinia tenebrosa;shallow;Oocyte and Spermaries;Yes;No;Yes;Other;Januray/February/March/April;January/February/April;NA;NA;No;No;NA;NA
Ultrastructural features of the trophonema and oogenesis in the starlet sea anemone Nematostella vectensis (Edwardsiidae);2008;United States;NA;NA;-;-;Edwardsiidae;Nematostella vectensis;shallow;Oocyte;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
Sexual reproduction of Two Intertidal Sea Anemones (Coelenterata:Actiniaria) in Malaysia;1982;Malaysia;Central Indo-Pacific;Sunda Shelf;3°13N;101°19'E;Actiniidae;Anthopleura handi;shallow;Oocyte;Yes;No;Yes;Monthly;January/February/March/April/May/June/July/August/September /October /November /December;NA;140;slide;Yes;No;NA;NA
;;NA;NA;NA;;;Diadumenidae;Diadumene lineata;shallow;Oocyte;NA;NA;NA;NA;January/February/March/April/May/June/July/August/September /October /November /December;NA;125;slide;No;NA;NA;NA
Gonad development of the sea anemone Anthopleura asiatica in clonal populations;1991;Japan;Temperate Northern Pacific;Cold Temperate Northwest Pacific;;;Actiniidae;Anthopleura asiatica;shallow;Oocyte and Spermaries;No;No;Yes;Monthly;September/October;September /October;NA;wet;No;No;NA;NA
Histology and sexual reproduction of the anemone Nematostella vectensis Stephenson 1935;1976;Canada;NA;NA;;;Edwardsiidae;Nematostella vectensis;shallow;Oocyte and Spermaries;Yes;No;No;NA;NA;NA;184;slide;No;No;NA;NA
Seasonal changes in testicular structure of the sea anemone Haliplanella lineata (Coelenterata: Actiniaria);1995;Japan;Temperate Northern Pacific;Cold Temperate Northwest Pacific;;;Diadumenidae;Diadumene lineata;shallow;Spermaries;Yes;Yes;Yes;Monthly;NA;July/August;NA;NA;No;Yes;Fukui, 1995;Temperature
The Culture, Sexual and Asexual Reproduction , and Growth of Nematostella vectensis;1992;United States;NA;NA;;;Edwardsiidae;Nematostella vectensis;shallow;Oocyte;No;No;No;NA;NA;NA;240;wet;No;No;NA;NA
Glycine concentration as biochemical indicator of sex and maturation in the sea anemone Bunodossoma cavernata;1982;United States;Temperate Northern Atlantic;Warm Temperate Northwest Atlantic;;;Actiniidae;Bunodosoma cavernata;shallow;Oocyte and Spermaries;No;No;Yes;Other;NA;NA;NA;NA;No;No;NA;NA
The Reproduction of the anemone Cylista troglodites (Prince): No influence of tidal manipulation;1991;Netherlands;Temperate Northern Atlantic;Northern European Seas;;;Sagartiidae;Cylista troglodites;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;February/March/April/May/July/August/September;NA;NA;slide;No;No;NA;NA
Gametogenesis and reproductive cycle in the sea anemone Anthopleura elegantissima (Brandt, 1835);1979;United States;Temperate Northern Pacific;Cold Temperate Northeast Pacific;;;Actiniidae;Anthopleura elegantissima;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;July/August/September;July/August/September;210;slide;Yes;Yes;Jannison 1979;Temperature
An Ultrastructure study of the establishment of the testicular Spermariess during spermatogenesis in the sea anemone Actinia fragacea (Cnidaria: Anthozoa);1984;United Kingdom;NA;NA;;;Actiniidae;Actinia fragacea;shallow;Spermaries;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
Preliminary ultrastructural and autoradiographic evidence that the trophonema of the sea anemone Actinia fragacea has a nutritive function;1982;United Kingdom;NA;NA;;;Actiniidae;Actinia fragacea;shallow;Oocyte;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
The Fine Structure of Granular Amorbocyte from the gonads of the sea anemone Actinia fragacea (Cnidaria: Anthozoa);1984;United Kingdom;NA;NA;;;Actiniidae;Actinia fragacea;shallow;Oocyte;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
An Ultrasctructural investigation of the early stages of oocyte differentiation in Actinia fragacea (Cnidaria: Anthozoa);1981;United Kingdom;Temperate Northern Atlantic;Northern European Seas;"29°22'30.59""N";94°45'31.19W;Actiniidae;Actinia fragacea;shallow;Oocyte;Yes;No;Yes;Monthly;July;NA;NA;NA;No;No;NA;NA
Reproduction in three species of sea anemone from Key West, Florida;1981;United States;Tropical Atlantic;Tropical Northwestern Atlantic;;;Actiniidae;Condylactis gigantea;shallow;Oocyte and Spermaries;Yes;No;Yes;Other;June;June;500;slide;Yes;Yes;Jannison 1979;NA
;;NA;NA;NA;;;Aiptasiidae;Bartholomea annulata;shallow;Oocyte and Spermaries;NA;NA;NA;NA;December /January/February/March/April/May;December /May;200;slide;Yes;NA;NA;NA
;;NA;NA;NA;;;Phymanthidae;Phymanthus crucifer;shallow;Oocyte and Spermaries;NA;NA;NA;NA;February/March/April/May;February/March/May;500;slide;No;NA;NA;NA
Sexual and asexual reproduction of Anthopleura dixoniana (Anthozoa: Actiniaria): periodicity and regulation;1992;Taiwan;Central Indo-Pacific;South China Sea;22°01'N;120°41'E;Actiniidae;Anthopleura dixoniana;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;July;July;200;slide;No;Yes;Lin et al. 1992;Temperature and feeding
Histological study on maturation, fertilization and the state of gonadal region following spawning in the model sea anemone, Nematostella vectensis;2017;Israel;NA;NA;;;Edwardsiidae;Nematostella vectensis;shallow;Oocyte;Yes;No;No;NA;NA;NA;160;slide;No;No;NA;NA
Reproductive periodicity and host-specific settlement and growth of a deep-water symbiotic sea anemone;2009;Canada;Deep Sea;Deep Sea;;;Hormathiidae;Allantactis parasitica;deep;Oocyte and Spermaries;Yes;Yes;Yes;Other;March/October;March/April/May/June/July/August/September /October;425;wet;No;No;NA;Phytoplankton abundance
Spermiogenesis in Anthozoa: Differentiation of the Spermatid;1975;United States;NA;NA;;;Gonactiniidae;Protanthea simplex;shallow;Spermaries;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
;;NA;NA;NA;;;Gonactiniidae;Gonactinia  prolifera;shallow;Spermaries;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA
;;NA;NA;NA;;;Hormathiidae;Calliactis parasitica;shallow;Spermaries;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA
The annual gametogenic cycle of the sea anemone Metridium senile from the gulf of Maine;2010;United States;Temperate Northern Atlantic;Cold Temperate Northwest Atlantic;;;Metridiidae;Metridium senile;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;July/August;September /October/November;160;slide;No;Yes;Lombardi & Lesser, 2010;Temperature and phytoplankton abundance
Population Ecology of the intertidal sea anemone Actinia tenebrosa II. Geograpical Distribution, Synonymy, Reproductive Cycle and Fecundity;1979;New Zeland;Temperate Australasia;Southern New Zealand;;;Actiniidae;Actinia tenebrosa;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;December /January/February;December /January/February;NA;NA;No;No;NA;Temperature
"Reproduction in two deep-sea anemones (Actiniaria); Phelliactis hertwigi and P. robusta";1990;France;Deep Sea;Deep Sea;;;Hormathiidae;Phelliactis hertwig;deep;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;October;NA;180;slide;No;No;NA;NA
;;NA;NA;NA;;;Hormathiidae;Phelliactis robusta;deep;Oocyte and Spermaries;NA;NA;NA;NA;March;NA;210;slide;No;NA;NA;NA
Gametogenesis and reproductive cycle in the deep-sea anemone Paracalliactis stephensoni (Cnidaria:Actiniaria);1990;France;Deep Sea;Deep Sea;;;Hormathiidae;Paracalliactis stephensoni;deep;Oocyte and Spermaries;Yes;Yes;Yes;Other;April/May;April/May;180;slide;Yes;No;NA;NA
Sexual Plasticity and Self-Fertilization in the sea anemone Aiptasia diaphana;2010;Israel;Temperate Northern Atlantic;Mediterranean Sea;;;Aiptasiidae;Exaiptasia diaphana;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;April/May/June/July/August;April/May/June/July/August;NA;NA;Yes;No;NA;NA
Reproduction in the externally brooding sea anemone Epiactis georgiana in the Antarctic Peninsula and the Weddell Sea;2013;United States;Deep Sea;Deep Sea;;;Actiniidae;Epiactis georgiana;deep;Oocyte and Spermaries;Yes;No;Yes;Other;NA;NA;2100;wet;Yes;Yes;Wedi & Dunn 1983;NA
Reproductive Ecology of the intertidal sea anemone Anthopleura xanthogrammica (Brandt) and Anthopleura elegantissima: Body size, Habitat and Sexual Selection;1981;United States;Temperate Northern Pacific;Cold Temperate Northeast Pacific;;;Actiniidae;Anthopleura elegantissima;shallow;Oocyte and Spermaries;Yes;No;Yes;Other;September /October /November;September /October /November;170;slide;No;Yes;Sebens, 1981;NA
;;NA;NA;NA;;;Actiniidae;Anthopleura xanthogrammica;shallow;Oocyte and Spermaries;NA;NA;NA;NA;August/September /October;August/September /October;165;slide;No;NA;NA;NA
The reproductive biology of Tricnidactis errans (Actiniaria, Haliplanellidae) from the rocky shore of Mar del Plata (Argentina);1995;Argentina;Temperate South America;Warm Temperate Southwestern Atlantic;38°05'S;57°32'W;Incertae sedis;Tricnidactis errans;shallow;Oocyte and Spermaries;No;Yes;Yes;Monthly;NA;NA;NA;NA;No;No;NA;NA
Gametogenic and reproductive cycles of the sea anemone Entacmaea quadricolor;2009;Australia;Temperate Australasia;East Central Australian Shelf;;;Actiniidae;Entacmaea quadricolor;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;Januray/February/March/April;January/February/March/April;763;slide;No;Yes;Scott & Harrison 2009;Temperature
"Gametogenesis and reproductive periodicity of the ""biologically vulnerable"" giant Caribbean sea anemone, Condylactis gigantea, in Florida.";2015;United States;Tropical Atlantic;Tropical Northwestern Atlantic;;;Actiniidae;Condylactis gigantea;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;May;May;540;slide;Yes;Yes;Sheridan & Fautin 2015;Temperature and daylight
Reproductive biology, oogenesis and eartly development in the brood-caring sea anemone Actinostola stepbergensis (anthozoa:Actiniaria);1976;Germany;Deep Sea;Deep Sea;;;Actinostolidae;Glandulactis spetbergensis;deep;Oocyte;Yes;No;Yes;Other;NA;NA;750;slide;No;No;NA;NA
Reproduction of the anthozoan Anamonia sulcata (Pennant, 1777) in southern Spain: asexual reproduction to putative maternal care;2019;Spain;Temperate Northern Atlantic;Mediterranean Sea;;;Actiniidae;Anemonia sulcata;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;April;April;NA;slide;No;No;NA;NA
Gametogenesis and reproductive periodicity of the subtidal sea anemone Utricina lofotensis (coelenterata: actiniaria) in california;1983;United States;Temperate Northern Pacific;Cold Temperate Northeast Pacific;;;Actiniidae;Urticina lofotensis;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;November /December;November /December;800;slide;No;Yes;Wedi & Dunn 1983;Temperature
Spermiogenesis in the Anthozoan Aiptasia pallida;1980;United States;NA;NA;;;Aiptasiidae;Exaiptasia pallida;shallow;Spermaries;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
The fine structure of mitochondria and the mitochondrial cloud during oogenesis on the sea anemone Actinia;1984;United Kingdom;NA;NA;;;Actiniidae;Actinia fragacea;shallow;Oocyte;Yes;No;No;NA;NA;NA;NA;NA;No;No;NA;NA
Seasonal patterns and possible long-term effectiveness of sexual reproduction in three species of sargatiid sea anemones;1989;United Kingdom;Temperate Northern Atlantic;Northern European Seas;;;Sagartiidae;Cylista troglodites;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;February/March;February/March/April;132;slide;No;Yes;Bucklin, 1979;Temperature
;;NA;NA;NA;;;Sagartiidae;Cylista elegans;shallow;Oocyte and Spermaries;NA;NA;NA;NA;NA;June/July;NA;wet;No;NA;NA;Temperature
;;NA;NA;NA;;;Sagartiidae;Cereus pedunculatus;shallow;Oocyte and Spermaries;NA;NA;NA;NA;NA;NA;NA;wet;Yes;NA;NA;Temperature
Reproduction and feeding ethology of a tropical, intertidal sand-dwelling anemone (Actinoporus elongatus, Carlgren, 1900);1992;Australia;Temperate Australasia;Northeast Australian Shelf;146°46'S;19°11'E;Capneidae;Actinoporus elongatus;shallow;Oocyte and Spermaries;Yes;Yes;Yes;Monthly;December /January/February/March/April;February;NA;NA;No;No;NA;NA
Distribution and Sexual Reproduction of a seagrass-bed-inhabiting Actiniarian, Phymanthus stradensi (Cnidaria:Anthozoa:Actiniaria:Phymantidae), at Hsiao-Liuchiu Island, Taiwan;2001;Taiwan;Central Indo-Pacific;South China Sea;22°20’30”N;120°21’10”E;Phymanthidae;Phymanthus strandesi;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;January/February/March/April/May/June/July/August/September/October/November/December;January/February/March/April/May/June/July/August/September /October /November /December;494;slide;No;Yes;Lin et al. 2001;NA
Reproductive biology of three species of sea anemones from the central atlanctic coast of Florida;1983;United States;Tropical Atlantic;Tropical Northwestern Atlantic;;;Actiniidae;Actinia bermudensis;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;September /October;NA;NA;NA;No;No;NA;NA
;;NA;NA;NA;;;Aiptasiidae;Exaiptasia pallida;shallow;Oocyte and Spermaries;NA;NA;NA;NA;October /November;NA;80;slide;No;NA;NA;NA
;;NA;NA;NA;;;Actiniidae;Bunodosoma cavernata;shallow;Oocyte and Spermaries;NA;NA;NA;NA;October /November;October /November;NA;NA;Yes;NA;NA;NA
Reproduction in the tropical frilly sea anemone Phymanthus pinnulatus (Cnidaria, Actiniaria);2021;Singapore;Central Indo-Pacific;Sunda Shelf;;;Phymanthidae;Phymanthus punnulatus;shallow;Oocyte and Spermaries;Yes;No;Yes;Monthly;NA;NA;NA;slide;No;Yes;Sheridan et al 2015;NA
