realm;province;family;species;femepeak;malepeak
Temperate Northern Atlantic;Northern European Seas;Metridiidae;Metridium senile;June/September;NA
Central Indo-Pacific;South China Sea;Actiniidae;Entacmaea quadricolor;NA;September/October
Temperate Australasia;Southeast Australian Shelf;Sagartiidae;Anthothoe albocincta;March/April;March/April
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Metridiidae;Metridium senile;August/September;August/September
Temperate Northern Atlantic;Northern European Seas;Actiniidae;Actinia equina;June/July/August;June/July/August
Central Indo-Pacific;South China Sea;Aiptasiidae;Exaiptasia pallida;January/February/March/April/May/June/July/August/September/October/November/December;NA
Temperate Northern Atlantic;Northern European Seas;Gonactiniidae;Gonactinia  prolifera;July/August/September/October/November;June/October/November
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Anthopleura elegantissima;September/October;September/October
Temperate Northern Atlantic;Mediterranean Sea;Actiniidae;Anemonia viridis;April/May/June;April/May/June
Temperate Northern Atlantic;Mediterranean Sea;Aiptasiidae;Exaiptasia diaphana;April/May/June;April/May/June
Temperate Australasia;Southeast Australian Shelf;Actiniidae;Actinia tenebrosa;NA;December/January/February
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Epiactis prolifera;June/October;NA
Temperate Australasia;West Central Australian Shelf;Actiniidae;Actinia tenebrosa;Januray/February/March/April;January/February/April
Central Indo-Pacific;Sunda Shelf;Actiniidae;Anthopleura handii;January/February/March/April/May/June/July/August/September/October/November/December;NA
Central Indo-Pacific;Sunda Shelf;Diadumenidae;Diadumene lineata;January/February/March/April/May/June/July/August/September/October/November/December;NA
Temperate Northern Pacific;Cold Temperate Northwest Pacific;Actiniidae;Anthopleura asiatica;September/October;September/October
Temperate Northern Pacific;Cold Temperate Northwest Pacific;Diadumenidae;Diadumene lineata;NA;July/August
Temperate Northern Atlantic;Northern European Seas;Sagartiidae;Cylista troglodites;February/March/April/May/July/August/September;NA
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Anthopleura elegantissima;July/August/September;July/August/September
Temperate Northern Atlantic;Northern European Seas;Actiniidae;Actinia fragacea;July;NA
Tropical Atlantic;Tropical Northwestern Atlantic;Actiniidae;Condylactis gigantea;June;June
Tropical Atlantic;Tropical Northwestern Atlantic;Aiptasiidae;Bartholomea annulata;December/January/February/March/April/May;December/May
Tropical Atlantic;Tropical Northwestern Atlantic;Phymanthidae;Phymanthus crucifer;February/March/April/May;February/March/May
Central Indo-Pacific;South China Sea;Actiniidae;Anthopleura dixoniana;July;July
Deep Sea;Deep Sea;Hormathiidae;Allantactis parasitica;March/October;March/April/May/June/July/August/September/October
Temperate Northern Atlantic;Cold Temperate Northwest Atlantic;Metridiidae;Metridium senile;July/August;September/October/November
Temperate Australasia;Southern New Zealand;Actiniidae;Actinia tenebrosa;December/January/February;December/January/February
Deep Sea;Deep Sea;Hormathiidae;Phelliactis hertwigii;October;NA
Deep Sea;Deep Sea;Hormathiidae;Phelliactis robusta;March;NA
Deep Sea;Deep Sea;Hormathiidae;Paracalliactis stephensoni;April/May;April/May
Temperate Northern Atlantic;Mediterranean Sea;Aiptasiidae;Exaiptasia diaphana;April/May/June/July/August;April/May/June/July/August
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Anthopleura elegantissima;September/October/November;September/October/November
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Anthopleura xanthogrammica;August/September/October;August/September/October
Temperate South America;Warm Temperate Southwestern Atlantic;Incertae sedis;Tricnidactis errans;NA;NA
Temperate Australasia;East Central Australian Shelf;Actiniidae;Entacmaea quadricolor;Januray/February/March/April;January/February/March/April
Tropical Atlantic;Tropical Northwestern Atlantic;Actiniidae;Condylactis gigantea;May;May
Temperate Northern Atlantic;Mediterranean Sea;Actiniidae;Anemonia sulcata;April;April
Temperate Northern Atlantic;Northern European Seas;Sagartiidae;Cylista troglodites;February/March;February/March/April
Temperate Northern Atlantic;Northern European Seas;Sagartiidae;Cylista elegans;NA;June/July
Temperate Australasia;Northeast Australian Shelf;Capneidae;Actinoporus elongatus;December/January/February/March/April;February
Central Indo-Pacific;South China Sea;Phymanthidae;Phymanthus strandesi;January/February/March/April/May/June/July/August/September/October/November/December;January/February/March/April/May/June/July/August/September/October/November/December
Tropical Atlantic;Tropical Northwestern Atlantic;Actiniidae;Actinia bermudensis;September/October;NA
Tropical Atlantic;Tropical Northwestern Atlantic;Aiptasiidae;Exaiptasia pallida;October/November;NA
Tropical Atlantic;Tropical Northwestern Atlantic;Actiniidae;Bunodosoma cavernata;October/November;October/November
Temperate Northern Atlantic;Northern European Seas;Sagartiidae;Cereus pedunculatus;July/August/September;NA
Temperate Northern Pacific;Warm Temperate Northwest Pacific;Actiniidae;Actinia equina;NA;July/August
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Epiactis prolifera;April/June;NA
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Epiactis lisbethae;January/February/March;NA
Temperate Northern Pacific;Cold Temperate Northeast Pacific;Actiniidae;Cribrinopsis fernaldi;March;March
Temperate Northern Atlantic;Mediterranean Sea;Actiniidae;Anemonia sulcata;August/September/October/November;July/August/September
Deep Sea;Deep Sea;Amphianthidae;Amphianthus dorhni;February/March/April;NA
Temperate Northern Pacific;Cold Temperate Northwest Pacific;Actiniidae;Aulactinia sinensis;July/August/September;May/June/July
Temperate Northern Atlantic;Northern European Seas;Metridiidae;Metridium senile;June/July;NA
Temperate Northern Atlantic;Northern European Seas;Gonactiniidae;Protanthea simplex;October;NA
